,Название,ИНН,Адрес,ОКВЭД,Деятельность
300,"ООО ""ПОЛЯРНЫЙ ЛИТИЙ""",9709083109,Г.МОСКВА,07.29.42,"Добыча и обогащение руд редких металлов (циркония, тантала, ниобия и т. п.)"
301,"АО ""ЦЕНТРАЛЬНАЯ ППК""",7705705370,Г.Москва,49.31.1,Перевозка пассажиров железнодорожным транспортом в пригородном сообщении
302,"ФГУП ""ПАНСИОНАТ ИСКРА""",5038029142,Московская область,55.90,Деятельность по предоставлению прочих мест для временного проживания
303,"ООО ""МОСОБЛЕИРЦ""",5037008735,МОСКОВСКАЯ ОБЛАСТЬ,66.19.6,Деятельность по приему платежей физических лиц платежными агентами
304,"ГУП МО ""КС МО""",5034065171,МОСКОВСКАЯ ОБЛАСТЬ,35.30.14,Производство пара и горячей воды (тепловой энергии) котельными
305,"ООО ""ТДМ ТЕХ""",5032339596,Г.МОСКВА,62.01,Разработка компьютерного программного обеспечения
306,"ООО ""РКС-БУЛАТНИКОВО""",5032335030,МОСКОВСКАЯ ОБЛАСТЬ,64.20,Деятельность холдинговых компаний
307,"ООО ""УК ""СВИНЬИН И ПАРТНЕРЫ""",7806138649,Г.Санкт-Петербург,66.30.1,Управление инвестиционными фондами
308,"АО ""ИКС 5 НЕДВИЖИМОСТЬ""",7816157915,Г.САНКТ-ПЕТЕРБУРГ,68.20.2,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
309,"ООО ""НЕВА-6""",7804024036,Г.САНКТ-ПЕТЕРБУРГ,68.20.2,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
310,"ПАО ""НК ""РОСНЕФТЬ""",7706107510,Г.МОСКВА,06.10.1,Добыча сырой нефти
311,"ООО ""НЕВА-11""",7804382465,Г.САНКТ-ПЕТЕРБУРГ,68.20.2,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
312,"ООО ""ОРЕНБИВ""",5643020813,Оренбургская область,10.1,Переработка и консервирование мяса и мясной пищевой продукции
313,"АО ""ОРСКИЙ МАШИНОСТРОИТЕЛЬНЫЙ ЗАВОД""",5613000880,ОРЕНБУРГСКАЯ ОБЛАСТЬ,24.20,"Производство стальных труб, полых профилей и фитингов"
314,"ООО ""АФМ""",5612065074,Оренбургская область,66.30,Деятельность по управлению фондами
315,"ООО ""НКНП""",5603042916,ОРЕНБУРГСКАЯ ОБЛАСТЬ,06.10.1,Добыча сырой нефти
316,"АО ""ОНИИП""",5506218498,ОМСКАЯ ОБЛАСТЬ,72.19,Научные исследования и разработки в области естественных и технических наук прочие
317,"ООО ""ГАЗПРОМ ЭНЕРГОСБЫТ БРЯНСК""",8602173527,Ханты-Мансийский автономный округ - Югра,35.14,Торговля электроэнергией
318,"ООО ""НЭП""",8602171819,Ханты-Мансийский автономный округ - Югра,43.2,"Производство электромонтажных, санитарно-технических и прочих строительно-монтажных работ"
319,"АО ""РОССЕТИ ТЮМЕНЬ""",8602060185,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,35.12,Передача электроэнергии и технологическое присоединение к распределительным электросетям
320,"АО ""ГАЗОВАЯ КОМПАНИЯ ЮГРА""",8601037610,Ханты-Мансийский автономный округ - Югра,68.20.2,Аренда и управление собственным или арендованным нежилым недвижимым имуществом
321,"АО ""ГСК ""ЮГОРИЯ""",8601023568,ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,65.12,"Страхование, кроме страхования жизни"
322,ДЕПИМУЩЕСТВА ЮГРЫ,8601003917,Ханты-Мансийский автономный округ - Югра,84.11.21,"Деятельность органов государственной власти субъектов Российской Федерации (республик, краев, областей), кроме судебной власти, представительств исполнительных органов государственной власти субъектов Российской Федерации при Президенте Российской Федерации"
323,"ООО ""РН-АКТИВ""",7706584449,Г.Москва,64.99.1,Вложения в ценные бумаги
324,"ООО ""ГАЗПРОМ КАПИТАЛ""",7726588547,Г.САНКТ-ПЕТЕРБУРГ,64.99.1,Вложения в ценные бумаги
325,"АО ""ГАЗПРОМ ЭНЕРГОСБЫТ ТЮМЕНЬ""",8602067215,Ханты-Мансийский автономный округ - Югра,35.14,Торговля электроэнергией
