Объект_1,ИНН_1,Адрес_1,ОКВЭД_1,ОКВЭД_ГЛАВ_1,Раздел_1,Деятельность_раздел_1,Деятельность_1,Связь,Объект_2,ИНН_2,Адрес_2,ОКВЭД_2,ОКВЭД_ГЛАВ_2,Раздел_2,Деятельность_раздел_2,Деятельность_2
"ООО ""ГАЗПРОМ ГНП ХОЛДИНГ""",3906229324,Г.САНКТ-ПЕТЕРБУРГ,46.71,46,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,"Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами",Высокая,"ООО ""ГАЗ - ОЙЛ ТРЕЙДИНГ""",7709773211,Г.МОСКВА,46.71,46,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,"Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами"
"АО ""УРАЛЭЛЕКТРОМЕДЬ""",6606003385,СВЕРДЛОВСКАЯ ОБЛАСТЬ,24.44,24,C,Обрабатывающие производства,Производство меди,Высокая,"ООО ""ЭЛТК УРАЛ""",6686106792,СВЕРДЛОВСКАЯ ОБЛАСТЬ,25.50,25,C,Обрабатывающие производства,"Ковка, прессование, штамповка и профилирование, изготовление изделий методом порошковой металлургии"
"ООО ""УЛЬТРА ФЕРТ УРАЛ""",6684039685,СВЕРДЛОВСКАЯ ОБЛАСТЬ,20.15,20,C,Обрабатывающие производства,Производство удобрений и азотных соединений,Высокая,"АО ""СУМЗ"", АО ""СРЕДНЕУРАЛЬСКИЙ МЕДЕПЛАВИЛЬНЫЙ ЗАВОД""",6627001318,Свердловская область,24.44,24,C,Обрабатывающие производства,Производство меди
"АО ""УК ""БМЗ""",3232035432,БРЯНСКАЯ ОБЛАСТЬ,30.2,30,C,Обрабатывающие производства,Производство железнодорожных локомотивов и подвижного состава,Высокая,"ООО ""ЛОКОТЕХ-СЕРВИС""",7704758153,Г.МОСКВА,52.21.1,52,H,Транспортировка и хранение,"Деятельность вспомогательная, связанная с железнодорожным транспортом"
"ООО ""ВОЗДВИЖЕНСКОЕ""",9704136526,Г.МОСКВА,68.10,68,L,Деятельность по операциям с недвижимым имуществом,Покупка и продажа собственного недвижимого имущества,Высокая,ВГТРК,7714072839,Г.МОСКВА,60.20,60,J,Деятельность в области информации и связи,Деятельность в области телевизионного вещания
"""ОПОРА РОССИИ""",7704247293,Г.МОСКВА,94.99,94,S,Предоставление прочих видов услуг,"Деятельность прочих общественных организаций, не включенных в другие группировки",Высокая,"СОЮЗ ""НМП""",7706414648,Г.МОСКВА,86.0,86,Q,Деятельность в области здравоохранения и социальных услуг,Деятельность в области здравоохранения
"""ОПОРА РОССИИ""",7704247293,Г.МОСКВА,94.99,94,S,Предоставление прочих видов услуг,"Деятельность прочих общественных организаций, не включенных в другие группировки",Высокая,"АНО ""ПРО"", АНО ""ПЛАТФОРМА ПРЕДПРИНИМАТЕЛЕЙ""",9705135074,Г.МОСКВА,73.20,73,M,"Деятельность профессиональная, научная и техническая",Исследование конъюнктуры рынка и изучение общественного мнения
"АГЕНТСТВО СТРАТЕГИЧЕСКИХ ИНИЦИАТИВ (АСИ), АГЕНТСТВО СТРАТЕГИЧЕСКИХ ИНИЦИАТИВ, АСИ",7704278735,Г.МОСКВА,73.20,73,M,"Деятельность профессиональная, научная и техническая",Исследование конъюнктуры рынка и изучение общественного мнения,Высокая,"АНО ""ЦИФРОВАЯ ЭКОНОМИКА""",7731384732,Г.МОСКВА,73.20.1,73,M,"Деятельность профессиональная, научная и техническая",Исследование конъюнктуры рынка
"АГЕНТСТВО СТРАТЕГИЧЕСКИХ ИНИЦИАТИВ (АСИ), АГЕНТСТВО СТРАТЕГИЧЕСКИХ ИНИЦИАТИВ, АСИ",7704278735,Г.МОСКВА,73.20,73,M,"Деятельность профессиональная, научная и техническая",Исследование конъюнктуры рынка и изучение общественного мнения,Высокая,"АНО ""ПРО"", АНО ""ПЛАТФОРМА ПРЕДПРИНИМАТЕЛЕЙ""",9705135074,Г.МОСКВА,73.20,73,M,"Деятельность профессиональная, научная и техническая",Исследование конъюнктуры рынка и изучение общественного мнения
"ООО ""КОМПАНИЯ ТРАССА""",5029080456,Московская область,47.30,47,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,Торговля розничная моторным топливом в специализированных магазинах,Высокая,"АССОЦИАЦИЯ ""УТСР""",7714429479,Г.МОСКВА,94.12,94,S,Предоставление прочих видов услуг,Деятельность профессиональных членских организаций
"АНО ""ЦИФРОВАЯ ЭКОНОМИКА""",7731384732,Г.МОСКВА,73.20.1,73,M,"Деятельность профессиональная, научная и техническая",Исследование конъюнктуры рынка,Высокая,"ООО ""ЯНДЕКС""",7736207543,Г.МОСКВА,62.01,62,J,Деятельность в области информации и связи,Разработка компьютерного программного обеспечения
"ООО ""ЦИФРА""",7704245507,Г.Москва,62.01,62,J,Деятельность в области информации и связи,Разработка компьютерного программного обеспечения,Высокая,"АНО ""ЦИФРОВАЯ ЭКОНОМИКА""",7731384732,Г.МОСКВА,73.20.1,73,M,"Деятельность профессиональная, научная и техническая",Исследование конъюнктуры рынка
ФГАОУ ВО ПЕРВЫЙ МГМУ ИМ.И.М. СЕЧЕНОВА МИНЗДРАВА РОССИИ (СЕЧЕНОВСКИЙ УНИВЕРСИТЕТ),7704047505,Г.МОСКВА,85.22,85,P,Образование,Образование высшее,Высокая,"АССОЦИАЦИЯ ""Я-ПРОФЕССИОНАЛ""",9701121916,Г.МОСКВА,94.12,94,S,Предоставление прочих видов услуг,Деятельность профессиональных членских организаций
"ООО ""ОТКРЫТАЯ МОБИЛЬНАЯ ПЛАТФОРМА""",1615012605,РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН),62.01,62,J,Деятельность в области информации и связи,Разработка компьютерного программного обеспечения,Высокая,"АНО ""ЦИФРОВАЯ ЭКОНОМИКА""",7731384732,Г.МОСКВА,73.20.1,73,M,"Деятельность профессиональная, научная и техническая",Исследование конъюнктуры рынка
"РОССИЙСКОЕ ОБЩЕСТВО УРОЛОГОВ, РОУ",7704142244,Г.МОСКВА,94.99,94,S,Предоставление прочих видов услуг,"Деятельность прочих общественных организаций, не включенных в другие группировки",Высокая,"СОЮЗ ""НМП""",7706414648,Г.МОСКВА,86.0,86,Q,Деятельность в области здравоохранения и социальных услуг,Деятельность в области здравоохранения
"ООО ""ЯНДЕКС""",7736207543,Г.МОСКВА,62.01,62,J,Деятельность в области информации и связи,Разработка компьютерного программного обеспечения,Высокая,АССОЦИАЦИЯ БОЛЬШИХ ДАННЫХ,7707421454,Г.МОСКВА,94.12,94,S,Предоставление прочих видов услуг,Деятельность профессиональных членских организаций
"НП ""МАП""",7709443291,Г.МОСКВА,70.22,70,M,"Деятельность профессиональная, научная и техническая",Консультирование по вопросам коммерческой деятельности и управления,Высокая,"ООО ""ЭЛ.АЙ.СИ""",7709126574,Г.Москва,69.20.1,69,M,"Деятельность профессиональная, научная и техническая",Деятельность по проведению финансового аудита
"АССОЦИАЦИЯ ""УТСР""",7714429479,Г.МОСКВА,94.12,94,S,Предоставление прочих видов услуг,Деятельность профессиональных членских организаций,Высокая,"ООО ""АТИ""",7706806518,Г.МОСКВА,46.71.2,46,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,"Торговля оптовая моторным топливом, включая авиационный бензин"
